target,source
06304546,06446122
06304546,06484217
06304546,06496480
06304546,06738344
06304546,06895440
06304546,06928589
06304546,07035217
06304546,07088674
06304546,07206932
06304546,07228460
06304546,07369537
06304546,07401158
06304546,07412481
06304546,07426059
06304546,07454423
06304546,07483383
06446122,06742045
06446122,06748433
06446122,06834300
06446122,07180860
06446122,07400587
06446122,07580371
06484217,06678840
06484217,06922741
06484217,07152191
06484217,07254736
06484217,07313612
06484217,07415716
06484217,07483879
06484217,07543287
06496480,06778535
06496480,07165115
06496480,07561519
06738344,07321946
06738344,07536389
06738344,07610267
06928589,07457916
06928589,07539755
07035217,07234000
07035217,07400577
07035217,07447796
07035217,07499396
07035217,07609694
07088674,07383340
07088674,07386629
07088674,07436774
07088674,07483390
07088674,07489640
07228460,07316016
07228460,07475280
07369537,07496107
